time,id,site,x,y,territory,EX,auc_diff,class2_auc_diff,Abibal,Acespi,Aranud,Betpap,Corcan,Drycar,Linbor,Maican,Oxamon,Poptre,Prupen,Rubida,Sorame,Clibor,Epiang,Fraame,Lysbor,Ortsec,Osmcla,Picea,Ribgla,Sampub,Sympun,Betall,Coptri,Rubpub,Thuocc,Mitnud,Grass,Amecan,Carex,Lacbie,Lycopod,Gymdis,Acerub,Rumaca,Pilcae,Taroff,Polyvir,Pteaqu,Epigla,Solmac,Gauhis,Anamar,Geumac,Nabtri,Salix,Riblac,Solcan,Vibedu,Galtri,Athfil,Ciralp,Corsto,Corcor,Monuni,Strlan,Phecon,Loncan,Alnrug,Equarv,Impcap
T3,CH1104_TE,CH1104,424212.721,5408919.971,Chic-Chocs,TE,20348.28214,Higher,0.224285714,0,0,0,0.156904762,0,0.08,0.059047619,0.070238095,0,0,0.261904762,0,0,0.002619048,0,0.006428571,0,0,0.001190476,0.075714286,0,0,0,0,0,0.014761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T4,CH1104_TE,CH1104,424212.721,5408919.971,Chic-Chocs,TE,20348.28214,Higher,0.284461905,0,0,0,0.139561905,0,0.096366667,0.046797619,0.049219048,0,0,0.342776191,0,0,0.009226587,0,0.004484127,0,0,0.0084,0.075428571,0,0,0,0,0,0.026597619,0,0.003038095,0.001754853,0,0,0,0,0,0,0,0,0,0,0,0,0.171578571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T5,CH1104_TE,CH1104,424212.721,5408919.971,Chic-Chocs,TE,20348.28214,Higher,0.311904762,0,0,0,0.098809524,0,0.075238095,0.039761905,0.008333333,0,0,0.345238095,0,0,0.008333333,0,0.001190476,0,0,0.010952381,0.032857143,0,0,0,0,0,0.028809524,0,0.003571429,0.000476191,0,0,0,0,0,0,0,0,0,0,0,0,0.118571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T6,CH1104_TE,CH1104,424212.721,5408919.971,Chic-Chocs,TE,20348.28214,Higher,0.38445,0,0,0,0.105126191,0,0.081680952,0.052271429,0.009111905,0,0,0.382557144,0,1.85867E-09,0.012885714,0,0.001590476,0,0,0.021138095,0.036630952,4.76376E-06,0,0,0,0,0.038466667,0,0.005240079,0.000462133,0,0,0,0,0,0,0,0,0,0,0,0,0.124333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T2,CH1105_EX,CH1105,429563.7656,5412521.816,Chic-Chocs,EX,0,Exclosure,0.142619048,0,0.036190476,0,0.080714286,0.001904762,0.089047619,0.117142857,0,0,0,0.312142857,0,0,0.036190476,0,0.020238095,0,0,0.030952381,0.004761905,0,0,0,0.031904762,0.201666667,0,0,0.015,0.021666667,0,0,0,0,0,0,0.013333333,0.075476191,0,0,0.026190476,0,0.006190476,0,0,0,0,0.02452381,0.053809524,0.027619048,0,0,0,0,0,0,0,0,0,0,0,0
T3,CH1105_EX,CH1105,429563.7656,5412521.816,Chic-Chocs,EX,0,Exclosure,0.194761905,0,0.062142857,0,0.144285714,0.00452381,0.127380952,0.103571429,0,0,0,0.475476191,0,0.034761905,0.039047619,0,0.015952381,0,0,0.033571429,0.00452381,0,0,0,0.048809524,0.33,0,0.092857143,0.03952381,0.045714286,0,0,0,0.002619048,0,0,0.079047619,0.077857143,0,0,0.04,0,0.004285714,0,0,0,0,0.015714286,0.110238095,0.042619048,0.007142857,0,0,0,0,0,0,0,0,0,0,0
T4,CH1105_EX,CH1105,429563.7656,5412521.816,Chic-Chocs,EX,0,Exclosure,0.313857143,0,0.072195238,0,0.191221429,0.000411905,0.143004762,0.088330952,0,0,0,0.417769048,0,0.006989286,0.072133333,0.002307647,0.01612619,0,0,0.068340476,0.020566667,0.002307647,0,0,0.017985714,0.280216667,0.001157623,0.082930952,0.043692857,0.07607381,0,0.017297619,0,0.002615627,0,0,0.119792857,0.079845238,0,0,0.01427619,0,0.024780952,0,0,0,0,0.014838095,0.071140476,0.045409524,0.018214286,0.001157623,0,0,0,0,0,0,0,0,0,0
T5,CH1105_EX,CH1105,429563.7656,5412521.816,Chic-Chocs,EX,0,Exclosure,0.251666667,0,0.02547619,0,0.145714286,0,0.110238095,0.027619048,0,0,0,0.324761905,0,0.001190476,0.063571429,0.000714286,0.005476191,0,0,0.061428571,0.014047619,0.000714286,0,0,0.003809524,0.172619048,0.000238095,0.064047619,0.025476191,0.065238095,0,0.013333333,0,0.000476191,0,0,0.103571429,0.017619048,0,0,0.002857143,0,0.025,0,0,0,0,0.00452381,0.017857143,0.037619048,0.015476191,0.000238095,0,0,0,0,0,0,0,0,0,0
T6,CH1105_EX,CH1105,429563.7656,5412521.816,Chic-Chocs,EX,0,Exclosure,0.259461905,0,0.024528571,0,0.139028571,0.000297619,0.122207143,0.035109524,0,0,0,0.389790476,0,0.001430952,0.06692619,4.40972E-05,0.005076191,0,0,0.064138095,0.022052381,4.40972E-05,0,0,0.00507381,0.156704762,0.000228769,0.076030952,0.033664286,0.076085714,0,0.023797718,0,9.7619E-05,0,0,0.132864286,0.017666667,0,0,0.003028571,0,0.035373809,0,0,0,0,0.004635714,0.02902381,0.05417381,0.024761905,0.000228769,0,0,0,0,0,0,0,0,0,0
T2,CH1105_TE,CH1105,429582.0715,5412471.573,Chic-Chocs,TE,-3746.946436,Lower,0.191904762,0,0.026190476,0.003571429,0.128571429,0.001904762,0.151904762,0.127619048,0,0,0,0.087857143,0,0,0.002380952,0,0.005238095,0.005,0,0.140238095,0.030714286,0,0,0,0.019047619,0.194761905,0.003095238,0,0.015476191,0.015476191,0,0,0,0,0,0,0.001904762,0.007380952,0,0,0.005,0,0.022142857,0,0,0,0,0.005714286,0,0.037142857,0.002380952,0,0,0,0,0,0,0,0,0,0,0
